"rnames","pvalue","odds.ratio","cluster"
"Amplification-3q23-3q29",3.36838407981717e-14,46.6142641712811,1
"Amplification-3q22.1-3q22.3",7.16101825694261e-15,25.4544489299518,1
"S1PR1",0.0118473243303156,5.08547970103793,1
"Amplification-8q23.2-8q24.21",0.000249506913171558,4.87413396557127,1
"BORCS8-MEF2B",0.0401075323755667,4.63620312773977,1
"HLA-C",0.0683943954309595,0.164533661276212,1
"BIRC3",0.000585182593271841,23.5524490492943,2
"Deletion_11q22.3",2.1641459598216e-09,16.6352844545299,2
"ATM",1.78682015276751e-06,7.28230821206527,2
"CCND1",0.0267915599125588,3.55092495193094,2
"Amplification_18q21.33",0.0760480264572787,3.24883970836034,2
"Amplification_14q32.33",0.0106247718484337,3.05282346398695,2
"TP53",1.11414085225576e-09,41.460598140615,3
"Deletion_TP53",4.45426911209603e-06,13.3520103551451,3
"Amplification_13q31.3",0.00567717809019857,9.85675098119609,3
"Deletion_13q12.11",0.00439622158055402,4.67263172742666,3
"Deletion_13q14.2",0.0091368841088205,4.46161089830401,3
"RAD50",0.0838988444781747,3.89538820780027,3
"Deletion_9p21.1",0.029868446494466,3.53554305491477,3
"SPEN",0.000741618088005477,16.9799101286268,4
"SAMHD1",0.00492976246226485,12.7071693517435,4
"Deletion_1p13.1",8.4028288363107e-06,7.56704734808933,4
"SP140",0.0020261756785662,5.86184959006817,4
"DAZAP1",0.0538174013039599,5.30555185644,4
"Wide_peak_1p21.2-22.1",0.000798506584130492,3.23072109391975,4
"UBR5",0.068420341587792,2.60159881776678,4
"Deletion_1q21.1-1q21.3",0.0313832860918444,2.40010630058102,4
"ANK2",0.0245885810899623,0,4
